symbol,eob,close
SZSE.159959,2021-01-07 00:00:00+08:00,1.279
SZSE.159959,2021-01-06 00:00:00+08:00,1.259
SZSE.159959,2021-01-05 00:00:00+08:00,1.25
SZSE.159959,2021-01-04 00:00:00+08:00,1.243
SZSE.159959,2020-12-31 00:00:00+08:00,1.211
SZSE.159959,2020-12-30 00:00:00+08:00,1.183
SZSE.159959,2020-12-29 00:00:00+08:00,1.177
SZSE.159959,2020-12-28 00:00:00+08:00,1.174
SZSE.159959,2020-12-25 00:00:00+08:00,1.181
SZSE.159959,2020-12-24 00:00:00+08:00,1.168
SZSE.159959,2020-12-23 00:00:00+08:00,1.166
SZSE.159959,2020-12-22 00:00:00+08:00,1.148
SZSE.159959,2020-12-21 00:00:00+08:00,1.173
SZSE.159959,2020-12-18 00:00:00+08:00,1.155
SZSE.159959,2020-12-17 00:00:00+08:00,1.158
SZSE.159959,2020-12-16 00:00:00+08:00,1.149
SZSE.159959,2020-12-15 00:00:00+08:00,1.152
SZSE.159959,2020-12-14 00:00:00+08:00,1.147
SZSE.159959,2020-12-11 00:00:00+08:00,1.138
SZSE.159959,2020-12-10 00:00:00+08:00,1.155
SZSE.159959,2020-12-09 00:00:00+08:00,1.151
SZSE.159959,2020-12-08 00:00:00+08:00,1.173
SZSE.159959,2020-12-07 00:00:00+08:00,1.175
SZSE.159959,2020-12-04 00:00:00+08:00,1.185
SZSE.159959,2020-12-03 00:00:00+08:00,1.187
SZSE.159959,2020-12-02 00:00:00+08:00,1.197
SZSE.159959,2020-12-01 00:00:00+08:00,1.199
SZSE.159959,2020-11-30 00:00:00+08:00,1.18
SZSE.159959,2020-11-27 00:00:00+08:00,1.181
SZSE.159959,2020-11-26 00:00:00+08:00,1.17
SZSE.159959,2020-11-25 00:00:00+08:00,1.173
SZSE.159959,2020-11-24 00:00:00+08:00,1.183
SZSE.159959,2020-11-23 00:00:00+08:00,1.18
SZSE.159959,2020-11-20 00:00:00+08:00,1.17
SZSE.159959,2020-11-19 00:00:00+08:00,1.161
SZSE.159959,2020-11-18 00:00:00+08:00,1.152
SZSE.159959,2020-11-17 00:00:00+08:00,1.147
SZSE.159959,2020-11-16 00:00:00+08:00,1.151
SZSE.159959,2020-11-13 00:00:00+08:00,1.138
SZSE.159959,2020-11-12 00:00:00+08:00,1.144
SZSE.159959,2020-11-11 00:00:00+08:00,1.144
SZSE.159959,2020-11-10 00:00:00+08:00,1.15
SZSE.159959,2020-11-09 00:00:00+08:00,1.156
SZSE.159959,2020-11-06 00:00:00+08:00,1.14
SZSE.159959,2020-11-05 00:00:00+08:00,1.134
SZSE.159959,2020-11-04 00:00:00+08:00,1.115
SZSE.159959,2020-11-03 00:00:00+08:00,1.108
SZSE.159959,2020-11-02 00:00:00+08:00,1.089
SZSE.159959,2020-10-30 00:00:00+08:00,1.091
SZSE.159959,2020-10-29 00:00:00+08:00,1.103
SZSE.159959,2020-10-28 00:00:00+08:00,1.098
SZSE.159959,2020-10-27 00:00:00+08:00,1.096
SZSE.159959,2020-10-26 00:00:00+08:00,1.097
SZSE.159959,2020-10-23 00:00:00+08:00,1.093
SZSE.159959,2020-10-22 00:00:00+08:00,1.099
