symbol,eob,close
SHSE.512690,2021-11-05 00:00:00+08:00,1.255
SHSE.512690,2021-11-04 00:00:00+08:00,1.248
SHSE.512690,2021-11-03 00:00:00+08:00,1.21
SHSE.512690,2021-11-02 00:00:00+08:00,1.219
SHSE.512690,2021-11-01 00:00:00+08:00,1.236
SHSE.512690,2021-10-29 00:00:00+08:00,1.246
SHSE.512690,2021-10-28 00:00:00+08:00,1.234
SHSE.512690,2021-10-27 00:00:00+08:00,1.223
SHSE.512690,2021-10-26 00:00:00+08:00,1.256
SHSE.512690,2021-10-25 00:00:00+08:00,1.249
SHSE.512690,2021-10-22 00:00:00+08:00,1.256
SHSE.512690,2021-10-21 00:00:00+08:00,1.245
SHSE.512690,2021-10-20 00:00:00+08:00,1.239
SHSE.512690,2021-10-19 00:00:00+08:00,1.23
SHSE.512690,2021-10-18 00:00:00+08:00,1.209
SHSE.512690,2021-10-15 00:00:00+08:00,1.296
SHSE.512690,2021-10-14 00:00:00+08:00,1.307
SHSE.512690,2021-10-13 00:00:00+08:00,1.309
SHSE.512690,2021-10-12 00:00:00+08:00,1.262
SHSE.512690,2021-10-11 00:00:00+08:00,1.26
SHSE.512690,2021-10-08 00:00:00+08:00,1.265
SHSE.512690,2021-09-30 00:00:00+08:00,1.232
SHSE.512690,2021-09-29 00:00:00+08:00,1.222
SHSE.512690,2021-09-28 00:00:00+08:00,1.23
SHSE.512690,2021-09-27 00:00:00+08:00,1.251
SHSE.512690,2021-09-24 00:00:00+08:00,1.173
SHSE.512690,2021-09-23 00:00:00+08:00,1.146
SHSE.512690,2021-09-22 00:00:00+08:00,1.141
SHSE.512690,2021-09-17 00:00:00+08:00,1.169
SHSE.512690,2021-09-16 00:00:00+08:00,1.131
SHSE.512690,2021-09-15 00:00:00+08:00,1.126
SHSE.512690,2021-09-14 00:00:00+08:00,1.159
SHSE.512690,2021-09-13 00:00:00+08:00,1.163
SHSE.512690,2021-09-10 00:00:00+08:00,1.18
SHSE.512690,2021-09-09 00:00:00+08:00,1.158
SHSE.512690,2021-09-08 00:00:00+08:00,1.16
SHSE.512690,2021-09-07 00:00:00+08:00,1.186
SHSE.512690,2021-09-06 00:00:00+08:00,1.178
SHSE.512690,2021-09-03 00:00:00+08:00,1.137
SHSE.512690,2021-09-02 00:00:00+08:00,1.128
SHSE.512690,2021-09-01 00:00:00+08:00,1.149
SHSE.512690,2021-08-31 00:00:00+08:00,1.111
SHSE.512690,2021-08-30 00:00:00+08:00,1.13
SHSE.512690,2021-08-27 00:00:00+08:00,1.125
SHSE.512690,2021-08-26 00:00:00+08:00,1.126
SHSE.512690,2021-08-25 00:00:00+08:00,1.165
SHSE.512690,2021-08-24 00:00:00+08:00,1.134
SHSE.512690,2021-08-23 00:00:00+08:00,1.099
SHSE.512690,2021-08-20 00:00:00+08:00,1.085
SHSE.512690,2021-08-19 00:00:00+08:00,1.159
SHSE.512690,2021-08-18 00:00:00+08:00,1.182
SHSE.512690,2021-08-17 00:00:00+08:00,1.168
SHSE.512690,2021-08-16 00:00:00+08:00,1.226
SHSE.512690,2021-08-13 00:00:00+08:00,1.221
SHSE.512690,2021-08-12 00:00:00+08:00,1.213
SHSE.512690,2021-08-11 00:00:00+08:00,1.235
SHSE.512690,2021-08-10 00:00:00+08:00,1.26
SHSE.512690,2021-08-09 00:00:00+08:00,1.183
SHSE.512690,2021-08-06 00:00:00+08:00,1.158
SHSE.512690,2021-08-05 00:00:00+08:00,1.162
SHSE.512690,2021-08-04 00:00:00+08:00,1.177
SHSE.512690,2021-08-03 00:00:00+08:00,1.193
SHSE.512690,2021-08-02 00:00:00+08:00,1.192
SHSE.512690,2021-07-30 00:00:00+08:00,1.125
SHSE.512690,2021-07-29 00:00:00+08:00,1.201
SHSE.512690,2021-07-28 00:00:00+08:00,1.216
SHSE.512690,2021-07-27 00:00:00+08:00,1.198
SHSE.512690,2021-07-26 00:00:00+08:00,1.252
SHSE.512690,2021-07-23 00:00:00+08:00,1.353
SHSE.512690,2021-07-22 00:00:00+08:00,1.387
SHSE.512690,2021-07-21 00:00:00+08:00,1.415
SHSE.512690,2021-07-20 00:00:00+08:00,1.414
SHSE.512690,2021-07-19 00:00:00+08:00,1.409
SHSE.512690,2021-07-16 00:00:00+08:00,1.396
SHSE.512690,2021-07-15 00:00:00+08:00,1.42
SHSE.512690,2021-07-14 00:00:00+08:00,1.374
SHSE.512690,2021-07-13 00:00:00+08:00,1.372
SHSE.512690,2021-07-12 00:00:00+08:00,1.334
SHSE.512690,2021-07-09 00:00:00+08:00,1.323
SHSE.512690,2021-07-08 00:00:00+08:00,1.368
SHSE.512690,2021-07-07 00:00:00+08:00,1.4
SHSE.512690,2021-07-06 00:00:00+08:00,1.382
SHSE.512690,2021-07-05 00:00:00+08:00,1.384
SHSE.512690,2021-07-02 00:00:00+08:00,1.378
SHSE.512690,2021-07-01 00:00:00+08:00,1.43
SHSE.512690,2021-06-30 00:00:00+08:00,1.423
SHSE.512690,2021-06-29 00:00:00+08:00,1.407
SHSE.512690,2021-06-28 00:00:00+08:00,1.431
SHSE.512690,2021-06-25 00:00:00+08:00,1.417
SHSE.512690,2021-06-24 00:00:00+08:00,1.385
SHSE.512690,2021-06-23 00:00:00+08:00,1.386
SHSE.512690,2021-06-22 00:00:00+08:00,1.43
SHSE.512690,2021-06-21 00:00:00+08:00,1.416
SHSE.512690,2021-06-18 00:00:00+08:00,1.434
SHSE.512690,2021-06-17 00:00:00+08:00,1.448
SHSE.512690,2021-06-16 00:00:00+08:00,1.407
SHSE.512690,2021-06-15 00:00:00+08:00,1.438
SHSE.512690,2021-06-11 00:00:00+08:00,1.439
SHSE.512690,2021-06-10 00:00:00+08:00,1.47
SHSE.512690,2021-06-09 00:00:00+08:00,1.442
SHSE.512690,2021-06-08 00:00:00+08:00,1.447
SHSE.512690,2021-06-07 00:00:00+08:00,1.555
SHSE.512690,2021-06-04 00:00:00+08:00,1.523
SHSE.512690,2021-06-03 00:00:00+08:00,1.489
SHSE.512690,2021-06-02 00:00:00+08:00,1.47
SHSE.512690,2021-06-01 00:00:00+08:00,1.492
SHSE.512690,2021-05-31 00:00:00+08:00,1.483
SHSE.512690,2021-05-28 00:00:00+08:00,1.479
SHSE.512690,2021-05-27 00:00:00+08:00,1.476
SHSE.512690,2021-05-26 00:00:00+08:00,1.466
SHSE.512690,2021-05-25 00:00:00+08:00,1.48
SHSE.512690,2021-05-24 00:00:00+08:00,1.438
SHSE.512690,2021-05-21 00:00:00+08:00,1.398
SHSE.512690,2021-05-20 00:00:00+08:00,1.399
SHSE.512690,2021-05-19 00:00:00+08:00,1.365
SHSE.512690,2021-05-18 00:00:00+08:00,1.382
SHSE.512690,2021-05-17 00:00:00+08:00,1.375
SHSE.512690,2021-05-13 00:00:00+08:00,2.644
SHSE.512690,2021-05-12 00:00:00+08:00,2.629
SHSE.512690,2021-05-11 00:00:00+08:00,2.591
SHSE.512690,2021-05-10 00:00:00+08:00,2.505
SHSE.512690,2021-05-07 00:00:00+08:00,2.544
SHSE.512690,2021-05-06 00:00:00+08:00,2.583
SHSE.512690,2021-04-30 00:00:00+08:00,2.663
SHSE.512690,2021-04-29 00:00:00+08:00,2.69
